"noise","mean_mast","sd"
0,11,0
30,8.9,1.52388392675499
60,8.4,1.07496769977314
90,8.7,1.33749350984926
120,7.2,1.3984117975602
150,7.7,1.25166555703457
180,7,0.816496580927726
210,7.4,1.07496769977314
240,6.6,0.699205898780101
270,7,1.15470053837925
300,7.2,1.13529242439509
330,7.4,0.843274042711568
360,6.5,1.08012344973464
390,6.4,0.699205898780101
420,6.6,0.699205898780101
450,6.1,0.875595035770913
480,5.9,0.567646212197547
510,5.9,0.316227766016838
540,6.2,1.13529242439509
570,6.3,0.948683298050514
600,6.3,1.33749350984926
630,6,1.05409255338946
660,5.8,0.632455532033676
690,5.9,0.316227766016838
