"bin","k","mean_mast","sd_mast","mean_coph","sd_coph"
"05-10%",1,30.9,NA,0.789048058599237,NA
"05-10%",2,29.8833333333333,NA,0.63318858254119,NA
"05-10%",3,28.88,NA,0.516292723002864,NA
"05-10%",4,27.8866666666667,NA,0.416394845069194,NA
"05-10%",5,26.8033333333333,NA,0.341299679140979,NA
"05-10%",6,25.75,NA,0.278786390988113,NA
"05-10%",7,24.7533333333333,NA,0.221136399121157,NA
"05-10%",8,23.75,NA,0.170794077206016,NA
"05-10%",9,22.7,NA,0.126473922931155,NA
"05-10%",10,21.8,NA,0.0930512660099409,NA
"05-10%",11,20.98,NA,0.0534256106710969,NA
"05-10%",12,19.92,NA,0.0345085549111556,NA
"05-10%",13,19.07,NA,0.0142531492295597,NA
"05-10%",14,18.49,NA,0.00251000753107433,NA
"05-10%",15,17.6466666666667,NA,-0.00626116498344262,NA
"05-10%",16,17.4566666666667,NA,-0.00953614958567917,NA
"05-10%",17,17.8233333333333,NA,-0.00595006897235276,NA
"05-10%",18,18.2966666666667,NA,0.00245007567261178,NA
"05-10%",19,18.9433333333333,NA,0.0181651011973759,NA
"05-10%",20,19.99,NA,0.0384120549786998,NA
"05-10%",21,20.9233333333333,NA,0.0582737478993035,NA
"05-10%",22,21.8233333333333,NA,0.0911684345810534,NA
"05-10%",23,22.8,NA,0.118994176336081,NA
"05-10%",24,23.77,NA,0.167380976472414,NA
"05-10%",25,24.7566666666667,NA,0.222085817554912,NA
"05-10%",26,25.76,NA,0.268277689752849,NA
"05-10%",27,26.8066666666667,NA,0.343083895764585,NA
"05-10%",28,27.76,NA,0.426341897557462,NA
"05-10%",29,28.8366666666667,NA,0.512900873212494,NA
"05-10%",30,29.89,NA,0.633466412662164,NA
"05-10%",31,30.9033333333333,NA,0.785894966480671,NA
"05-10%",32,32,NA,1,NA
"10-15%",1,30.9366666666667,NA,0.838326359178962,NA
"10-15%",2,29.8666666666667,NA,0.703855402079628,NA
"10-15%",3,28.9066666666667,NA,0.584796614796819,NA
"10-15%",4,27.8,NA,0.488798481221241,NA
"10-15%",5,26.7966666666667,NA,0.398158884566769,NA
"10-15%",6,25.77,NA,0.326316135295845,NA
"10-15%",7,24.7333333333333,NA,0.260660749493088,NA
"10-15%",8,23.73,NA,0.201820954996393,NA
"10-15%",9,22.7133333333333,NA,0.150921863938646,NA
"10-15%",10,21.79,NA,0.105527049804689,NA
"10-15%",11,20.7666666666667,NA,0.0722765988895221,NA
"10-15%",12,19.6266666666667,NA,0.047354290090419,NA
"10-15%",13,18.7933333333333,NA,0.0192688031504856,NA
"10-15%",14,17.9866666666667,NA,0.00195455351700356,NA
"10-15%",15,17.3566666666667,NA,-0.00630708429520637,NA
"10-15%",16,17.2566666666667,NA,-0.0080148274433601,NA
"10-15%",17,17.2733333333333,NA,-0.00666596997535314,NA
"10-15%",18,17.8466666666667,NA,0.00545326384264525,NA
"10-15%",19,18.7133333333333,NA,0.0181240435368796,NA
"10-15%",20,19.75,NA,0.0424457802716467,NA
"10-15%",21,20.7833333333333,NA,0.0697147748532823,NA
"10-15%",22,21.7,NA,0.108349815692554,NA
"10-15%",23,22.6966666666667,NA,0.14829985343592,NA
"10-15%",24,23.68,NA,0.198811292661036,NA
"10-15%",25,24.7666666666667,NA,0.264914857885803,NA
"10-15%",26,25.73,NA,0.330153128687517,NA
"10-15%",27,26.79,NA,0.398561097826092,NA
"10-15%",28,27.76,NA,0.48687320406564,NA
"10-15%",29,28.86,NA,0.589183361011118,NA
"10-15%",30,29.9,NA,0.70141560503186,NA
"10-15%",31,30.9366666666667,NA,0.837925088283631,NA
"10-15%",32,32,NA,1,NA
"15-20%",1,30.9466666666667,NA,0.857070318651046,NA
"15-20%",2,29.89,NA,0.729094968102743,NA
"15-20%",3,28.8633333333333,NA,0.615896461241121,NA
"15-20%",4,27.8333333333333,NA,0.521739752882898,NA
"15-20%",5,26.8133333333333,NA,0.428516401604239,NA
"15-20%",6,25.7566666666667,NA,0.348614550198389,NA
"15-20%",7,24.6733333333333,NA,0.280234048935455,NA
"15-20%",8,23.7,NA,0.217520406947913,NA
"15-20%",9,22.7866666666667,NA,0.163976550754658,NA
"15-20%",10,21.67,NA,0.118657705424214,NA
"15-20%",11,20.5233333333333,NA,0.0787067574642115,NA
"15-20%",12,19.3833333333333,NA,0.0487911889263614,NA
"15-20%",13,18.5233333333333,NA,0.0224425961940588,NA
"15-20%",14,17.45,NA,0.00310807423789849,NA
"15-20%",15,17.0066666666667,NA,-0.00617102621575188,NA
"15-20%",16,16.6566666666667,NA,-0.00899852821159397,NA
"15-20%",17,16.8733333333333,NA,-0.00438466013952446,NA
"15-20%",18,17.4366666666667,NA,0.00470716246713031,NA
"15-20%",19,18.5433333333333,NA,0.0220034718072994,NA
"15-20%",20,19.41,NA,0.0492519673890911,NA
