"bin","k","cor_mast_cherries"
"05-10%",1,0.465251692788133
"05-10%",2,0.500519655112514
"05-10%",3,0.750664181933175
"05-10%",4,0.855129293643116
"05-10%",5,0.925481615076407
"05-10%",6,0.881393085511269
"05-10%",7,0.620214334335922
"05-10%",8,0.801040314181055
"05-10%",9,0.74146630649645
"05-10%",10,0.740921147889485
"05-10%",11,0.708368657394422
"05-10%",12,0.798493084782941
"05-10%",13,0.436829619890358
"05-10%",14,0.513203347896389
"05-10%",15,-0.110495315245727
"05-10%",16,0.226902144858436
"05-10%",17,0.392497750544758
"05-10%",18,0.480913337934267
"05-10%",19,0.719687012861579
"05-10%",20,0.637265161966866
"05-10%",21,0.718272379654596
"05-10%",22,0.568644349405516
"05-10%",23,0.589323299878397
"05-10%",24,0.735004991424533
"05-10%",25,0.799610739934286
"05-10%",26,0.730787586471348
"05-10%",27,0.708445753846511
"05-10%",28,0.630803537949545
"05-10%",29,0.79946510137273
"05-10%",30,0.24796027295787
"05-10%",31,0.593913055612173
"05-10%",32,NA
"10-15%",1,0.207543458913539
"10-15%",2,-0.342718044553116
"10-15%",3,0.407742812003551
"10-15%",4,0.102984698461677
"10-15%",5,0.288367407621106
"10-15%",6,0.173930791784097
"10-15%",7,0.046879869576456
"10-15%",8,0.114130493139984
"10-15%",9,0.220907798118529
"10-15%",10,0.489489780348456
"10-15%",11,-0.0145911925881717
"10-15%",12,0.304330002737429
"10-15%",13,0.360357001977423
"10-15%",14,-0.0218845490051365
"10-15%",15,0.0993593432644261
"10-15%",16,0.595895322889783
"10-15%",17,0.0982600435828245
"10-15%",18,-0.0178746361973586
"10-15%",19,0.279336577086848
"10-15%",20,0.335879373204862
"10-15%",21,0.0636052373770592
"10-15%",22,-0.0105030660299117
"10-15%",23,-0.121139562253576
"10-15%",24,-0.0790301664809422
"10-15%",25,0.290138757406881
"10-15%",26,0.489014630144485
"10-15%",27,0.170034494048609
"10-15%",28,0.084340268190149
"10-15%",29,0.404404171171404
"10-15%",30,-0.0404378159815847
"10-15%",31,-0.0578055511882932
"10-15%",32,NA
"15-20%",1,0.670342320321738
"15-20%",2,0.552644232816307
"15-20%",3,0.261070133265935
"15-20%",4,0.560121111552001
"15-20%",5,0.71641920655184
"15-20%",6,0.664476631374235
"15-20%",7,0.75649668694933
"15-20%",8,0.787025521105167
"15-20%",9,0.717766736034623
"15-20%",10,0.704595963981741
"15-20%",11,0.643947180477396
"15-20%",12,0.412236540982707
"15-20%",13,0.548267810756814
"15-20%",14,0.000684056713653761
"15-20%",15,0.0393755784184439
"15-20%",16,0.221559295297333
"15-20%",17,0.513869420625174
"15-20%",18,0.695138133337913
"15-20%",19,0.553027917362642
"15-20%",20,0.771268232998607
"15-20%",21,0.747971710967094
"15-20%",22,0.608908110993803
"15-20%",23,0.820146294948097
"15-20%",24,0.686126641557037
"15-20%",25,0.658822959131185
"15-20%",26,0.701449837944176
"15-20%",27,0.681692338273964
"15-20%",28,0.753050697848668
"15-20%",29,0.355656449213158
"15-20%",30,0.662767651713407
"15-20%",31,0.551348809653171
"15-20%",32,NA
"20-25%",1,0.164430733754877
"20-25%",2,0.309647420534975
"20-25%",3,0.322013677066671
"20-25%",4,0.469397576184518
"20-25%",5,-0.322942728389522
"20-25%",6,0.415673023568061
"20-25%",7,0.0511275184709433
"20-25%",8,0.490601435573134
"20-25%",9,0.425647704882847
"20-25%",10,0.246667063364275
"20-25%",11,0.462290422986977
"20-25%",12,0.3334686377165
"20-25%",13,0.430633830899177
"20-25%",14,0.200899117866329
"20-25%",15,0.366917167547141
"20-25%",16,0.516351418089615
"20-25%",17,0.366661315072911
"20-25%",18,0.508457314165516
"20-25%",19,0.457462626232124
"20-25%",20,0.493279404806727
"20-25%",21,0.159440347035724
"20-25%",22,-0.159386032868577
"20-25%",23,0.197315518597345
"20-25%",24,0.185091765013474
"20-25%",25,0.104179041110186
"20-25%",26,0.309694926615604
"20-25%",27,0.120477905619693
"20-25%",28,0.291021623488557
"20-25%",29,0.14088136217989
"20-25%",30,0.311981989560096
"20-25%",31,0.433942606640792
"20-25%",32,NA
"25-30%",1,0.325644061409502
"25-30%",2,0.283472912806588
"25-30%",3,0.151482246537311
"25-30%",4,0.118255917877226
"25-30%",5,-0.0142194528668844
"25-30%",6,0.385697373608668
"25-30%",7,0.229879609205731
"25-30%",8,0.487242905841972
"25-30%",9,-0.0236026107608073
"25-30%",10,0.607876303275657
"25-30%",11,0.651007364038633
"25-30%",12,0.334202204163101
"25-30%",13,0.176447269509795
"25-30%",14,0.522617869432416
"25-30%",15,0.285282210996475
"25-30%",16,0.314485323703955
"25-30%",17,0.549040623728585
"25-30%",18,0.625342941978549
"25-30%",19,0.391073210796042
"25-30%",20,0.478997013361396
"25-30%",21,0.0559243327137142
"25-30%",22,0.367668074283512
"25-30%",23,-0.0417025221833464
"25-30%",24,0.362181948475586
"25-30%",25,-0.115311380553283
"25-30%",26,0.339344406784627
"25-30%",27,0.164864260482745
"25-30%",28,0.239054262569048
"25-30%",29,0.190698579314593
"25-30%",30,0.236796959256725
"25-30%",31,0.45833769392797
"25-30%",32,NA
"30-35%",1,0.266708970787469
"30-35%",2,0.464733470961764
"30-35%",3,0.229998905902627
"30-35%",4,-0.0215703342041961
"30-35%",5,-0.15074678037155
"30-35%",6,0.315808896266576
"30-35%",7,0.135737803197528
"30-35%",8,0.251396811430455
"30-35%",9,0.254653472307423
"30-35%",10,0.351316005010155
"30-35%",11,0.396171310909999
"30-35%",12,0.571733069742825
"30-35%",13,0.749899180785934
"30-35%",14,0.559843469590691
"30-35%",15,0.384570859868878
"30-35%",16,0.503657700520401
"30-35%",17,0.269375490532636
"30-35%",18,0.385541911002473
"30-35%",19,0.236700396081542
"30-35%",20,0.464183097820521
"30-35%",21,0.424045805691271
"30-35%",22,0.544955808888474
