"bin","tree_id","tree_in_bin","prop1","k","rep","mast","coph","preserved_cherries"
"20-25%",1,1,0.21875,1,1,30,0.87077168272868,1
"20-25%",1,1,0.21875,1,2,31,0.87077168272868,1
"20-25%",1,1,0.21875,1,3,31,0.864935905371599,2
"20-25%",1,1,0.21875,1,4,31,0.87077168272868,2
"20-25%",1,1,0.21875,1,5,31,0.87077168272868,2
"20-25%",1,1,0.21875,1,6,31,0.87077168272868,1
"20-25%",1,1,0.21875,1,7,31,0.87077168272868,1
"20-25%",1,1,0.21875,1,8,31,0.87077168272868,1
"20-25%",1,1,0.21875,1,9,31,0.87077168272868,2
"20-25%",1,1,0.21875,1,10,31,0.864935905371599,2
"20-25%",1,1,0.21875,1,11,31,0.87077168272868,2
"20-25%",1,1,0.21875,1,12,31,0.87077168272868,1
"20-25%",1,1,0.21875,1,13,31,0.87077168272868,2
"20-25%",1,1,0.21875,1,14,31,0.87077168272868,2
"20-25%",1,1,0.21875,1,15,31,0.87077168272868,1
"20-25%",1,1,0.21875,2,1,30,0.757248994936475,1
"20-25%",1,1,0.21875,2,2,30,0.739550657058075,1
"20-25%",1,1,0.21875,2,3,30,0.757248994936475,1
"20-25%",1,1,0.21875,2,4,30,0.757248994936475,1
"20-25%",1,1,0.21875,2,5,30,0.739550657058075,1
"20-25%",1,1,0.21875,2,6,30,0.757248994936475,1
"20-25%",1,1,0.21875,2,7,30,0.757248994936475,1
"20-25%",1,1,0.21875,2,8,30,0.739550657058075,1
"20-25%",1,1,0.21875,2,9,30,0.757248994936475,1
"20-25%",1,1,0.21875,2,10,30,0.757248994936475,2
"20-25%",1,1,0.21875,2,11,30,0.739550657058075,1
"20-25%",1,1,0.21875,2,12,29,0.757248994936475,0
"20-25%",1,1,0.21875,2,13,29,0.757248994936475,0
"20-25%",1,1,0.21875,2,14,30,0.757248994936475,1
"20-25%",1,1,0.21875,2,15,30,0.739550657058075,1
"20-25%",1,1,0.21875,3,1,29,0.655518980608224,1
"20-25%",1,1,0.21875,3,2,29,0.632611906255878,1
"20-25%",1,1,0.21875,3,3,29,0.632611906255878,1
"20-25%",1,1,0.21875,3,4,29,0.632611906255878,1
"20-25%",1,1,0.21875,3,5,28,0.655518980608224,0
"20-25%",1,1,0.21875,3,6,29,0.632611906255878,1
"20-25%",1,1,0.21875,3,7,29,0.632611906255878,1
"20-25%",1,1,0.21875,3,8,29,0.655518980608224,1
"20-25%",1,1,0.21875,3,9,28,0.655518980608224,0
"20-25%",1,1,0.21875,3,10,29,0.632611906255878,1
"20-25%",1,1,0.21875,3,11,29,0.632611906255878,1
"20-25%",1,1,0.21875,3,12,29,0.655518980608224,1
"20-25%",1,1,0.21875,3,13,29,0.655518980608224,1
"20-25%",1,1,0.21875,3,14,29,0.655518980608224,1
"20-25%",1,1,0.21875,3,15,29,0.655518980608224,1
"20-25%",1,1,0.21875,4,1,28,0.539089438579335,1
"20-25%",1,1,0.21875,4,2,28,0.56308318190117,1
"20-25%",1,1,0.21875,4,3,28,0.56308318190117,1
"20-25%",1,1,0.21875,4,4,28,0.539089438579335,1
"20-25%",1,1,0.21875,4,5,27,0.56308318190117,0
"20-25%",1,1,0.21875,4,6,28,0.539089438579335,1
"20-25%",1,1,0.21875,4,7,28,0.539089438579335,1
"20-25%",1,1,0.21875,4,8,28,0.539089438579335,1
"20-25%",1,1,0.21875,4,9,28,0.56308318190117,1
"20-25%",1,1,0.21875,4,10,27,0.539089438579335,0
"20-25%",1,1,0.21875,4,11,27,0.56308318190117,0
"20-25%",1,1,0.21875,4,12,27,0.56308318190117,0
"20-25%",1,1,0.21875,4,13,28,0.56308318190117,1
"20-25%",1,1,0.21875,4,14,28,0.539089438579335,1
"20-25%",1,1,0.21875,4,15,27,0.539089438579335,0
"20-25%",1,1,0.21875,5,1,27,0.45588040536995,1
"20-25%",1,1,0.21875,5,2,26,0.478343469219257,0
"20-25%",1,1,0.21875,5,3,27,0.428474954993477,1
"20-25%",1,1,0.21875,5,4,27,0.45588040536995,1
"20-25%",1,1,0.21875,5,5,27,0.428474954993477,1
"20-25%",1,1,0.21875,5,6,27,0.45588040536995,1
"20-25%",1,1,0.21875,5,7,26,0.399722702450115,1
"20-25%",1,1,0.21875,5,8,27,0.45588040536995,1
"20-25%",1,1,0.21875,5,9,27,0.478343469219257,1
"20-25%",1,1,0.21875,5,10,27,0.45588040536995,1
"20-25%",1,1,0.21875,5,11,27,0.45588040536995,1
"20-25%",1,1,0.21875,5,12,27,0.45588040536995,1
"20-25%",1,1,0.21875,5,13,27,0.428474954993477,1
"20-25%",1,1,0.21875,5,14,27,0.45588040536995,1
"20-25%",1,1,0.21875,5,15,27,0.45588040536995,1
"20-25%",1,1,0.21875,6,1,25,0.354492890892525,0
