"bin","tree_in_bin","prop1"
"20-25%",1,0.21875
"05-10%",1,0.09375
"35-40%",1,0.375
"35-40%",2,0.375
"15-20%",1,0.15625
"05-10%",2,0.0625
"05-10%",3,0.0625
"25-30%",1,0.28125
"05-10%",4,0.09375
"70-75%",1,0.71875
"25-30%",2,0.25
"30-35%",1,0.34375
"05-10%",5,0.0625
"35-40%",3,0.375
"15-20%",2,0.1875
"05-10%",6,0.09375
"05-10%",7,0.09375
"05-10%",8,0.0625
"05-10%",9,0.09375
"05-10%",10,0.09375
"05-10%",11,0.09375
"05-10%",12,0.09375
"10-15%",1,0.125
"05-10%",13,0.09375
"05-10%",14,0.0625
"15-20%",3,0.15625
"05-10%",15,0.0625
"15-20%",4,0.1875
"30-35%",2,0.3125
"05-10%",16,0.0625
"20-25%",2,0.21875
"15-20%",5,0.1875
"05-10%",17,0.0625
"15-20%",6,0.15625
"05-10%",18,0.0625
"05-10%",19,0.0625
"05-10%",20,0.0625
"20-25%",3,0.21875
"15-20%",7,0.1875
"45-50%",1,0.46875
"25-30%",3,0.25
"35-40%",4,0.375
"40-45%",1,0.4375
"50-55%",1,0.5
"15-20%",8,0.15625
"10-15%",2,0.125
"25-30%",4,0.25
"25-30%",5,0.28125
"30-35%",3,0.3125
"35-40%",5,0.375
"25-30%",6,0.25
"10-15%",3,0.125
"10-15%",4,0.125
"15-20%",9,0.1875
"20-25%",4,0.21875
"40-45%",2,0.4375
"35-40%",6,0.375
"25-30%",7,0.28125
"75-80%",1,0.78125
"10-15%",5,0.125
"55-60%",1,0.5625
"10-15%",6,0.125
"10-15%",7,0.125
"70-75%",2,0.71875
"20-25%",5,0.21875
"75-80%",2,0.78125
"10-15%",8,0.125
"15-20%",10,0.15625
"10-15%",9,0.125
"55-60%",2,0.59375
"15-20%",11,0.15625
"15-20%",12,0.15625
"25-30%",8,0.28125
"30-35%",4,0.3125
"75-80%",3,0.75
"10-15%",10,0.125
"15-20%",13,0.15625
"10-15%",11,0.125
"15-20%",14,0.15625
"25-30%",9,0.28125
"10-15%",12,0.125
"50-55%",2,0.53125
"45-50%",2,0.46875
"75-80%",4,0.78125
"25-30%",10,0.28125
"15-20%",15,0.15625
"35-40%",7,0.375
"40-45%",3,0.4375
"25-30%",11,0.28125
"10-15%",13,0.125
"15-20%",16,0.15625
"30-35%",5,0.3125
"10-15%",14,0.125
"10-15%",15,0.125
"90-95%",1,0.9375
"25-30%",12,0.25
"25-30%",13,0.25
"10-15%",16,0.125
"25-30%",14,0.25
"15-20%",17,0.15625
"80-85%",1,0.8125
"40-45%",4,0.40625
"35-40%",8,0.375
"95-100%",1,0.96875
"20-25%",6,0.21875
"15-20%",18,0.1875
"40-45%",5,0.4375
"10-15%",17,0.125
"15-20%",19,0.15625
"15-20%",20,0.15625
"10-15%",18,0.125
"20-25%",7,0.21875
"30-35%",6,0.3125
"10-15%",19,0.125
"95-100%",2,0.96875
"35-40%",9,0.375
"10-15%",20,0.125
"30-35%",7,0.34375
"25-30%",15,0.25
"35-40%",10,0.375
"80-85%",2,0.8125
"25-30%",16,0.28125
"75-80%",5,0.75
"25-30%",17,0.28125
"70-75%",3,0.71875
"90-95%",2,0.9375
"25-30%",18,0.28125
"40-45%",6,0.40625
"45-50%",3,0.46875
"20-25%",8,0.21875
"30-35%",8,0.34375
"50-55%",3,0.53125
"20-25%",9,0.21875
"20-25%",10,0.21875
"25-30%",19,0.25
"25-30%",20,0.25
"45-50%",4,0.46875
"70-75%",4,0.71875
"35-40%",11,0.375
"20-25%",11,0.21875
"90-95%",3,0.90625
"50-55%",4,0.53125
"20-25%",12,0.21875
"20-25%",13,0.21875
"40-45%",7,0.4375
"80-85%",3,0.8125
"50-55%",5,0.5
"20-25%",14,0.21875
"20-25%",15,0.21875
"35-40%",12,0.375
"30-35%",9,0.3125
"45-50%",5,0.46875
"50-55%",6,0.5
"75-80%",6,0.75
"50-55%",7,0.53125
"40-45%",8,0.40625
"40-45%",9,0.4375
"60-65%",1,0.625
"40-45%",10,0.4375
"30-35%",10,0.3125
"55-60%",3,0.5625
"80-85%",4,0.8125
"20-25%",16,0.21875
"65-70%",1,0.65625
"35-40%",13,0.375
"65-70%",2,0.65625
"50-55%",8,0.53125
"45-50%",6,0.46875
"40-45%",11,0.4375
"55-60%",4,0.59375
"95-100%",3,0.96875
"55-60%",5,0.5625
"35-40%",14,0.375
"90-95%",4,0.9375
"55-60%",6,0.5625
"90-95%",5,0.90625
"35-40%",15,0.375
"55-60%",7,0.5625
"30-35%",11,0.34375
"20-25%",17,0.21875
"75-80%",7,0.75
"20-25%",18,0.21875
"35-40%",16,0.375
"30-35%",12,0.3125
"80-85%",5,0.8125
"70-75%",5,0.71875
"80-85%",6,0.8125
"30-35%",13,0.3125
"30-35%",14,0.34375
"35-40%",17,0.375
"75-80%",8,0.78125
"75-80%",9,0.75
"30-35%",15,0.34375
"70-75%",6,0.71875
"95-100%",4,0.96875
"35-40%",18,0.375
"35-40%",19,0.375
"30-35%",16,0.34375
"65-70%",3,0.65625
"40-45%",12,0.4375
"20-25%",19,0.21875
"90-95%",6,0.9375
"50-55%",9,0.53125
"20-25%",20,0.21875
"50-55%",10,0.53125
"30-35%",17,0.3125
"75-80%",10,0.75
"35-40%",20,0.375
"40-45%",13,0.40625
"30-35%",18,0.3125
"90-95%",7,0.90625
"55-60%",8,0.5625
"55-60%",9,0.59375
"30-35%",19,0.34375
"85-90%",1,0.875
"45-50%",7,0.46875
"40-45%",14,0.40625
"30-35%",20,0.3125
"40-45%",15,0.40625
"50-55%",11,0.5
"90-95%",8,0.90625
"70-75%",7,0.71875
"70-75%",8,0.71875
"90-95%",9,0.9375
"55-60%",10,0.5625
"50-55%",12,0.53125
"65-70%",4,0.65625
"50-55%",13,0.5
"40-45%",16,0.40625
"65-70%",5,0.65625
"55-60%",11,0.59375
