"bin","tree_id","tree_in_bin","prop1","k","mean_mast","mean_coph","mean_preserved_cherries"
"05-10%",2,1,0.09375,1,31,0.81434193974604,1.2
"05-10%",2,1,0.09375,2,29.8,0.667369356121619,1.13333333333333
"05-10%",2,1,0.09375,3,28.9333333333333,0.52544542216387,1
"05-10%",2,1,0.09375,4,27.8,0.426221608909666,0.933333333333333
"05-10%",2,1,0.09375,5,26.5333333333333,0.363053800743749,0.6
"05-10%",2,1,0.09375,6,25.8666666666667,0.292031142961947,0.866666666666667
"05-10%",2,1,0.09375,7,24.8,0.202728622176584,0.8
"05-10%",2,1,0.09375,8,23.6666666666667,0.22136316563009,0.666666666666667
"05-10%",2,1,0.09375,9,22.7333333333333,0.122527786700687,0.733333333333333
"05-10%",2,1,0.09375,10,22,0.0629610655700816,0.666666666666667
"05-10%",2,1,0.09375,11,20.4666666666667,0.0596349284404433,0.333333333333333
"05-10%",2,1,0.09375,12,19.6,0.0467215182244157,0.266666666666667
"05-10%",2,1,0.09375,13,18.5333333333333,0.0229977302740869,0.333333333333333
"05-10%",2,1,0.09375,14,18.0666666666667,0.00271751859779956,0.266666666666667
"05-10%",2,1,0.09375,15,17.0666666666667,-0.0149670247078615,0.466666666666667
"05-10%",2,1,0.09375,16,16.0666666666667,-0.00526546034703891,0.266666666666667
"05-10%",2,1,0.09375,17,17.2666666666667,-0.00487704102812919,0.2
"05-10%",2,1,0.09375,18,17.5333333333333,-0.00281590281972379,0.333333333333333
"05-10%",2,1,0.09375,19,18.3333333333333,0.0119115524220513,0.2
"05-10%",2,1,0.09375,20,19.7333333333333,0.0302397642752361,0.533333333333333
"05-10%",2,1,0.09375,21,20.6,0.0696932912443503,0.466666666666667
"05-10%",2,1,0.09375,22,21.6,0.118190975584163,0.466666666666667
"05-10%",2,1,0.09375,23,22.6666666666667,0.107578605295853,0.6
"05-10%",2,1,0.09375,24,23.6,0.181299954057647,0.6
"05-10%",2,1,0.09375,25,24.5333333333333,0.230732473091123,0.533333333333333
"05-10%",2,1,0.09375,26,25.6,0.280443046600061,0.666666666666667
"05-10%",2,1,0.09375,27,26.8666666666667,0.353221761376102,0.866666666666667
"05-10%",2,1,0.09375,28,27.6666666666667,0.472708152807029,0.733333333333333
"05-10%",2,1,0.09375,29,28.8666666666667,0.558448489576932,0.866666666666667
"05-10%",2,1,0.09375,30,29.8,0.66512994868744,1.06666666666667
"05-10%",2,1,0.09375,31,30.9333333333333,0.811384115228494,1.4
"05-10%",2,1,0.09375,32,32,1,2
"05-10%",6,2,0.0625,1,30.8666666666667,0.77293239650039,1.6
"05-10%",6,2,0.0625,2,29.8666666666667,0.590551264483786,1.46666666666667
"05-10%",6,2,0.0625,3,29,0.484972644033556,1.2
"05-10%",6,2,0.0625,4,27.7333333333333,0.405451146045485,1
"05-10%",6,2,0.0625,5,26.6,0.377570565093394,0.733333333333333
"05-10%",6,2,0.0625,6,25.8666666666667,0.253748426980857,1
