"bin","k","rep","mast"
"0-10%",1,1,31
"0-10%",1,2,31
"0-10%",1,3,31
"0-10%",1,4,31
"0-10%",1,5,31
"0-10%",1,6,31
"0-10%",1,7,30
"0-10%",1,8,31
"0-10%",1,9,31
"0-10%",1,10,31
"0-10%",1,11,30
"0-10%",1,12,31
"0-10%",1,13,31
"0-10%",1,14,31
"0-10%",1,15,31
"0-10%",2,1,30
"0-10%",2,2,30
"0-10%",2,3,30
"0-10%",2,4,30
"0-10%",2,5,30
"0-10%",2,6,30
"0-10%",2,7,30
"0-10%",2,8,30
"0-10%",2,9,30
"0-10%",2,10,30
"0-10%",2,11,30
"0-10%",2,12,30
"0-10%",2,13,30
"0-10%",2,14,30
"0-10%",2,15,30
"0-10%",3,1,29
"0-10%",3,2,29
"0-10%",3,3,29
"0-10%",3,4,29
"0-10%",3,5,29
"0-10%",3,6,29
"0-10%",3,7,29
"0-10%",3,8,29
"0-10%",3,9,29
"0-10%",3,10,29
"0-10%",3,11,28
"0-10%",3,12,29
"0-10%",3,13,30
"0-10%",3,14,29
"0-10%",3,15,29
"0-10%",4,1,28
"0-10%",4,2,28
"0-10%",4,3,27
"0-10%",4,4,28
"0-10%",4,5,28
"0-10%",4,6,28
"0-10%",4,7,28
"0-10%",4,8,28
"0-10%",4,9,28
"0-10%",4,10,27
"0-10%",4,11,28
"0-10%",4,12,28
"0-10%",4,13,28
"0-10%",4,14,28
"0-10%",4,15,27
"0-10%",5,1,27
"0-10%",5,2,27
"0-10%",5,3,27
"0-10%",5,4,27
"0-10%",5,5,27
"0-10%",5,6,27
"0-10%",5,7,27
"0-10%",5,8,27
"0-10%",5,9,27
"0-10%",5,10,27
"0-10%",5,11,26
"0-10%",5,12,27
"0-10%",5,13,27
"0-10%",5,14,26
"0-10%",5,15,27
"0-10%",6,1,26
"0-10%",6,2,25
"0-10%",6,3,26
"0-10%",6,4,26
"0-10%",6,5,26
"0-10%",6,6,26
"0-10%",6,7,26
"0-10%",6,8,26
"0-10%",6,9,27
"0-10%",6,10,26
"0-10%",6,11,26
"0-10%",6,12,25
"0-10%",6,13,26
"0-10%",6,14,27
"0-10%",6,15,26
"0-10%",7,1,25
"0-10%",7,2,25
"0-10%",7,3,24
"0-10%",7,4,25
"0-10%",7,5,25
"0-10%",7,6,25
"0-10%",7,7,27
"0-10%",7,8,25
"0-10%",7,9,25
"0-10%",7,10,25
"0-10%",7,11,25
"0-10%",7,12,24
"0-10%",7,13,24
"0-10%",7,14,28
"0-10%",7,15,24
"0-10%",8,1,25
"0-10%",8,2,24
"0-10%",8,3,23
"0-10%",8,4,24
"0-10%",8,5,23
"0-10%",8,6,25
"0-10%",8,7,24
"0-10%",8,8,24
"0-10%",8,9,24
"0-10%",8,10,24
"0-10%",8,11,23
"0-10%",8,12,24
"0-10%",8,13,24
"0-10%",8,14,24
"0-10%",8,15,26
"0-10%",9,1,23
"0-10%",9,2,24
"0-10%",9,3,22
"0-10%",9,4,23
"0-10%",9,5,24
"0-10%",9,6,23
"0-10%",9,7,23
"0-10%",9,8,24
"0-10%",9,9,22
"0-10%",9,10,22
"0-10%",9,11,23
"0-10%",9,12,23
"0-10%",9,13,24
"0-10%",9,14,22
"0-10%",9,15,22
"0-10%",10,1,23
"0-10%",10,2,23
"0-10%",10,3,22
"0-10%",10,4,22
"0-10%",10,5,22
"0-10%",10,6,21
"0-10%",10,7,25
"0-10%",10,8,22
"0-10%",10,9,21
"0-10%",10,10,22
"0-10%",10,11,22
"0-10%",10,12,21
"0-10%",10,13,21
"0-10%",10,14,21
"0-10%",10,15,23
"0-10%",11,1,21
"0-10%",11,2,21
"0-10%",11,3,21
"0-10%",11,4,21
"0-10%",11,5,21
"0-10%",11,6,20
"0-10%",11,7,24
"0-10%",11,8,20
"0-10%",11,9,21
"0-10%",11,10,20
"0-10%",11,11,20
"0-10%",11,12,20
"0-10%",11,13,21
"0-10%",11,14,20
"0-10%",11,15,21
"0-10%",12,1,20
"0-10%",12,2,21
"0-10%",12,3,22
"0-10%",12,4,20
"0-10%",12,5,22
"0-10%",12,6,19
"0-10%",12,7,19
"0-10%",12,8,19
"0-10%",12,9,19
"0-10%",12,10,19
"0-10%",12,11,20
"0-10%",12,12,19
"0-10%",12,13,20
"0-10%",12,14,20
"0-10%",12,15,19
"0-10%",13,1,19
"0-10%",13,2,18
"0-10%",13,3,20
"0-10%",13,4,19
"0-10%",13,5,18
"0-10%",13,6,18
"0-10%",13,7,20
"0-10%",13,8,19
"0-10%",13,9,21
"0-10%",13,10,18
"0-10%",13,11,22
"0-10%",13,12,18
"0-10%",13,13,20
"0-10%",13,14,19
"0-10%",13,15,20
"0-10%",14,1,17
"0-10%",14,2,17
"0-10%",14,3,17
"0-10%",14,4,19
"0-10%",14,5,18
"0-10%",14,6,18
"0-10%",14,7,18
"0-10%",14,8,17
"0-10%",14,9,19
"0-10%",14,10,18
"0-10%",14,11,19
"0-10%",14,12,16
"0-10%",14,13,19
"0-10%",14,14,20
"0-10%",14,15,19
"0-10%",15,1,16
"0-10%",15,2,19
"0-10%",15,3,19
"0-10%",15,4,16
"0-10%",15,5,20
"0-10%",15,6,18
"0-10%",15,7,17
"0-10%",15,8,16
"0-10%",15,9,16
"0-10%",15,10,19
"0-10%",15,11,17
"0-10%",15,12,18
"0-10%",15,13,19
"0-10%",15,14,17
