"bin","k","mean_mast","sd_mast"
"0-10%",1,30.8666666666667,0.351865775274498
"0-10%",2,30,0
"0-10%",3,29,0.377964473009227
"0-10%",4,27.8,0.414039335605413
"0-10%",5,26.8666666666667,0.351865775274498
"0-10%",6,26,0.534522483824849
"0-10%",7,25.0666666666667,1.09978352848359
"0-10%",8,24.0666666666667,0.79880863671798
"0-10%",9,22.9333333333333,0.79880863671798
"0-10%",10,22.0666666666667,1.09978352848359
"0-10%",11,20.8,1.01418510567422
"0-10%",12,19.8666666666667,1.06009882737862
"0-10%",13,19.2666666666667,1.22279928657082
"0-10%",14,18.0666666666667,1.09978352848359
"0-10%",15,17.6,1.35224680756563
"0-10%",16,18,2.29906813420444
"0-10%",17,18.9333333333333,1.48644670591441
"0-10%",18,18.7333333333333,1.75119007154183
"0-10%",19,19.0666666666667,0.961150104723255
"0-10%",20,20.3333333333333,1.17513930278601
"0-10%",21,20.9333333333333,1.03279555898864
"0-10%",22,21.5333333333333,0.833809387832792
"0-10%",23,22.8,0.676123403782813
"0-10%",24,23.7333333333333,0.593616839704664
"0-10%",25,24.7333333333333,0.703731550548997
"0-10%",26,25.8666666666667,0.915475416434127
"0-10%",27,26.8,0.560611910581388
"0-10%",28,28,0.534522483824849
"0-10%",29,28.8,0.414039335605413
"0-10%",30,29.8,0.414039335605413
"0-10%",31,30.9333333333333,0.258198889747161
"0-10%",32,32,0
"10-20%",1,30.8,0.414039335605413
"10-20%",2,29.9333333333333,0.258198889747161
"10-20%",3,28.8666666666667,0.351865775274498
"10-20%",4,27.9333333333333,0.258198889747161
"10-20%",5,26.9333333333333,0.258198889747161
"10-20%",6,25.7333333333333,0.457737708217063
"10-20%",7,24.8666666666667,0.351865775274498
"10-20%",8,23.8666666666667,0.351865775274498
"10-20%",9,22.9333333333333,0.258198889747161
"10-20%",10,22,0
"10-20%",11,20.9333333333333,0.258198889747161
"10-20%",12,19.8666666666667,1.59761727343596
"10-20%",13,18.5333333333333,1.35576371027375
"10-20%",14,18.1333333333333,1.88477610139267
"10-20%",15,17.1333333333333,0.833809387832792
"10-20%",16,17.5333333333333,1.88477610139267
"10-20%",17,16.8,1.01418510567422
"10-20%",18,18.2666666666667,1.09978352848359
"10-20%",19,18.6,1.63881490282286
"10-20%",20,19.9333333333333,1.57963226582585
"10-20%",21,21,0
"10-20%",22,21.9333333333333,0.258198889747161
"10-20%",23,23,0
"10-20%",24,24,0
"10-20%",25,24.8666666666667,0.351865775274498
"10-20%",26,25.9333333333333,0.258198889747161
"10-20%",27,26.8,0.414039335605413
"10-20%",28,27.6666666666667,0.487950036474267
"10-20%",29,28.8,0.414039335605413
"10-20%",30,29.9333333333333,0.258198889747161
"10-20%",31,31,0
"10-20%",32,32,0
"20-30%",1,31.1333333333333,0.351865775274498
"20-30%",2,29.8666666666667,0.516397779494322
"20-30%",3,29.0666666666667,0.593616839704664
"20-30%",4,28.2,0.676123403782813
"20-30%",5,27.0666666666667,0.457737708217063
"20-30%",6,26.2,1.37321312465119
"20-30%",7,25.9333333333333,1.27988094684437
"20-30%",8,24.0666666666667,0.79880863671798
"20-30%",9,23.4666666666667,0.833809387832792
"20-30%",10,21.6,1.5023790657297
"20-30%",11,21.2666666666667,1.83095083286825
"20-30%",12,19.7333333333333,1.70991506333196
"20-30%",13,19.7333333333333,2.01659779496722
"20-30%",14,19.3333333333333,1.54303349962092
"20-30%",15,18.6,1.40407570003493
"20-30%",16,18.3333333333333,1.23442679969674
"20-30%",17,18.6,1.2983506020002
"20-30%",18,18.8666666666667,2.13363093162359
"20-30%",19,19.5333333333333,2.16684980910955
"20-30%",20,20.4666666666667,2.16684980910955
"20-30%",21,20.8,2.70449361513125
"20-30%",22,22.6666666666667,1.23442679969674
"20-30%",23,23.4,0.828078671210825
"20-30%",24,24.5333333333333,1.12546286774228
"20-30%",25,25.0666666666667,0.79880863671798
"20-30%",26,25.6,0.632455532033676
"20-30%",27,27.2,0.94112394811432
"20-30%",28,28.1333333333333,0.639940473422184
"20-30%",29,28.9333333333333,0.593616839704664
"20-30%",30,30.0666666666667,0.457737708217063
"20-30%",31,30.9333333333333,0.258198889747161
"20-30%",32,32,0
"30-40%",1,30.9333333333333,0.258198889747161
"30-40%",2,29.8666666666667,0.351865775274498
"30-40%",3,28.6,0.50709255283711
"30-40%",4,27.9333333333333,0.258198889747161
"30-40%",5,26.0666666666667,2.81492620219599
"30-40%",6,25.3333333333333,2.71679082392303
"30-40%",7,23.8,2.83347338589432
"30-40%",8,24,0.925820099772551
"30-40%",9,20.9333333333333,2.8900486072696
"30-40%",10,21.4666666666667,2.61497518881064
"30-40%",11,20.4666666666667,2.16684980910955
"30-40%",12,18.4,1.95667356208731
"30-40%",13,18.4,1.88224789622864
"30-40%",14,18.1333333333333,0.915475416434127
"30-40%",15,18.6,1.45405835999994
"30-40%",16,18.5333333333333,1.76743020337707
"30-40%",17,18,1.4142135623731
"30-40%",18,18.6666666666667,1.79947082168487
"30-40%",19,19.2,1.89736659610103
"30-40%",20,18.6,2.41424344848887
"30-40%",21,19.9333333333333,2.37446735881865
"30-40%",22,20.9333333333333,2.81492620219599
"30-40%",23,21.4,3.11218802223039
"30-40%",24,22.2,2.90811671999988
"30-40%",25,24.3333333333333,2.16024689946929
"30-40%",26,25.1333333333333,2.85022973176015
"30-40%",27,26.0666666666667,2.54857569933445
"30-40%",28,27.8,0.414039335605413
"30-40%",29,28.9333333333333,0.258198889747161
"30-40%",30,29.8666666666667,0.351865775274498
"30-40%",31,30.9333333333333,0.258198889747161
"30-40%",32,32,0
"40-50%",1,30.8666666666667,0.351865775274498
"40-50%",2,26.2,6.3718129288296
"40-50%",3,25.4,6.03324125159934
"40-50%",4,22,6.53561670497021
"40-50%",5,24.2,5.12974518999587
"40-50%",6,22.6,5.23450093132096
"40-50%",7,23.2666666666667,3.99046482553217
"40-50%",8,18.6666666666667,5.5118919057754
"40-50%",9,20.2,4.52295731321255
"40-50%",10,18.0666666666667,4.72783046992814
"40-50%",11,16.2,4.3785189929277
"40-50%",12,17.2666666666667,3.8631346758571
"40-50%",13,14.8666666666667,3.136573805619
"40-50%",14,15.6,1.88224789622864
"40-50%",15,16.3333333333333,0.816496580927726
"40-50%",16,15.9333333333333,0.258198889747161
"40-50%",17,15.2,1.01418510567422
"40-50%",18,15.6,2.0976176963403
"40-50%",19,15.2666666666667,3.05816627284733
"40-50%",20,15.6666666666667,3.94002658922621
"40-50%",21,18,4
"40-50%",22,18,4.81070235442364
"40-50%",23,17,4.86973158544552
"40-50%",24,22.8,2.48423601363248
"40-50%",25,23.1333333333333,3.73911117525975
"40-50%",26,21.2,5.96657355607052
"40-50%",27,24.4,5.22083737125979
"40-50%",28,24.2666666666667,5.95778802033423
"40-50%",29,26.0666666666667,5.57374799095426
"40-50%",30,28,4.88437742779393
"40-50%",31,30.9333333333333,0.258198889747161
"40-50%",32,32,0
